pub chem SID,Smile 
13070818,C1=CC=C(C=C1)CCC2=NC(=CC=C2)N
11379,C1=CC=C2C(=C1)C=CC(=N2)N
11586735,C1=CC(=NC(=C1)N)CCC2=CC3=C(C=C2)C=CN3
11659487,COC1=CC=CC(=C1)C2=CC=CC(=C2)CCC3=NC(=CC=C3)N
10397869,C1=CC=C(C=C1)CNC2=C(N=CC=C2)N
11701820,C1=CC(=CC(=C1)C2=CN=CC=C2)CNC3=C(N=CC=C3)N
11500493,COC1=CN=CC(=C1)C2=CC=CC(=C2)CNC3=C(N=CC=C3)N
11681539,CCCOC1=CN=CC(=C1)C2=CC=CC(=C2)CNC3=C(N=CC=C3)N
103164678,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2
103164854,C1=CC=C2C(=C1)C=CC(=O)O2
103192521,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3
103235548,COC1=CC2=C(C=C1)C=CC(=O)O2
103235584,C1=CC(=CC2=C1C=CC(=O)O2)O
103235857,CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C
103238743,C1=CC2=C(C=CO2)C3=C1C=CC(=O)O3
103266033,CC1(C=CC2=C(O1)C=CC3=C2OC(=O)C=C3)C
103266318,CC1(C=CC2=C(O1)C=C3C(=C2)C=CC(=O)O3)C
103270037,CC(=CCC/C(=C/COC1=CC2=C(C=C1)C=CC(=O)O2)/C)C
103335772,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC
103355648,C1=CC(=O)OC2=C(C3=C(C=CO3)C=C21)O
103381053,COC1=C2C=COC2=C(C3=C1C=CC(=O)O3)OC
103405864,CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)O)C
103407163,CC(=CCOC1=CC2=C(C=C1)C=CC(=O)O2)C
103422516,C1=CC(=O)OC2=CC3=C(C=CO3)C=C21
103478525,CC(C)([C@@H]1CC2=C(O1)C=CC3=C2OC(=O)C=C3)O
103528327,C1=CC(=O)OC2=CC(=C(C=C21)O)O
103530259,C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O
